,Task type,MVTec Category,Model,train,export,deploy,nncf,pot,train E2E Time (Sec.),export E2E Time (Sec.),deploy E2E Time (Sec.),nncf E2E Time (Sec.),pot E2E Time (Sec.),train Eval Time (Sec.),export Eval Time (Sec.),deploy Eval Time (Sec.),nncf Eval Time (Sec.),pot Eval Time (Sec.)
22,anomaly_detection,toothbrush,STFPM,f-measure: 0.65,f-measure: 0.714,f-measure: 0.714,f-measure: 0.699,f-measure: 0.714,748.83,15.442,13.64,747.952,53.967,19.832,19.795,18.341,24.668,14.477
23,anomaly_detection,toothbrush,PADIM,f-measure: 0.843,f-measure: 0.784,f-measure: 0.784,f-measure: 0.892,f-measure: 0.783,148.044,15.031,13.849,149.521,76.344,21.884,18.428,19.645,24.905,12.937
24,anomaly_detection,transistor,STFPM,f-measure: 0.384,f-measure: 0.396,f-measure: 0.396,f-measure: 0.694,f-measure: 0.394,569.85,15.263,12.762,1398.091,65.259,22.627,39.153,36.25,18.412,27.117
25,anomaly_detection,transistor,PADIM,f-measure: 0.714,f-measure: 0.413,f-measure: 0.413,f-measure: 0.798,f-measure: 0.431,104.448,17.754,13.017,121.081,88.392,24.433,36.152,32.199,21.178,27.761
26,anomaly_detection,wood,STFPM,f-measure: 0.949,f-measure: 0.837,f-measure: 0.837,f-measure: 0.937,f-measure: 0.837,687.169,15.394,13.683,842.847,65.04,29.907,34.746,30.645,22.158,26.037
27,anomaly_detection,wood,PADIM,f-measure: 0.943,f-measure: 0.829,f-measure: 0.829,f-measure: 0.93,f-measure: 0.828,190.406,19.251,15.339,127.146,80.688,27.968,29.84,35.441,23.004,22.828
28,anomaly_detection,zipper,STFPM,f-measure: 0.784,f-measure: 0.781,f-measure: 0.781,f-measure: 0.784,f-measure: 0.788,1561.414,14.828,12.943,539.191,60.287,29.647,42.346,38.179,25.174,30.315
29,anomaly_detection,zipper,PADIM,f-measure: 0.864,f-measure: 0.861,f-measure: 0.861,f-measure: 0.853,f-measure: 0.841,268.7,17.441,14.002,182.287,85.529,32.426,32.104,36.503,26.515,29.031
30,anomaly_classification,bottle,STFPM,f-measure: 0.867,f-measure: 0.77,f-measure: 0.77,f-measure: 0.795,f-measure: 0.773,777.481,13.127,12.067,1696.821,53.172,20.954,18.989,19.217,30.834,16.344
31,anomaly_classification,bottle,PADIM,f-measure: 0.952,f-measure: 0.832,f-measure: 0.832,f-measure: 0.964,f-measure: 0.842,262.015,15.411,12.852,791.264,73.87,21.909,19.66,18.687,29.319,13.932
32,anomaly_classification,cable,STFPM,f-measure: 0.613,f-measure: 0.613,f-measure: 0.613,f-measure: 0.613,f-measure: 0.613,979.732,13.234,12.437,739.855,69.787,22.08,38.757,33.764,25.005,28.254
33,anomaly_classification,cable,PADIM,f-measure: 0.613,f-measure: 0.613,f-measure: 0.613,f-measure: 0.673,f-measure: 0.625,236.553,13.647,13.798,235.616,81.121,21.33,33.25,34.817,22.927,21.236
34,anomaly_classification,capsule,STFPM,f-measure: 0.826,f-measure: 0.826,f-measure: 0.826,f-measure: 0.826,f-measure: 0.826,2423.578,12.775,10.571,657.704,60.709,22.084,29.612,30.94,26.585,19.124
35,anomaly_classification,capsule,PADIM,f-measure: 0.871,f-measure: 0.841,f-measure: 0.841,f-measure: 0.848,f-measure: 0.841,765.459,14.325,13.498,187.651,88.814,23.252,30.632,29.046,25.222,27.928
36,anomaly_classification,carpet,STFPM,f-measure: 0.829,f-measure: 0.761,f-measure: 0.761,f-measure: 0.855,f-measure: 0.761,1064.589,13.957,13.971,631.978,63.251,21.446,29.321,31.19,25.953,23.498
37,anomaly_classification,carpet,PADIM,f-measure: 0.761,f-measure: 0.744,f-measure: 0.744,f-measure: 0.786,f-measure: 0.752,214.02,16.122,14.379,158.452,82.67,23.297,30.25,29.729,24.645,24.037
38,anomaly_classification,grid,STFPM,f-measure: 0.756,f-measure: 0.731,f-measure: 0.731,f-measure: 0.782,f-measure: 0.731,1425.216,14.337,13.4,679.553,53.522,18.889,18.948,21.403,23.303,15.288
39,anomaly_classification,grid,PADIM,f-measure: 0.744,f-measure: 0.731,f-measure: 0.731,f-measure: 0.744,f-measure: 0.731,130.358,16.261,12.049,158.766,79.29,21.612,18.348,16.769,24.008,14.545
40,anomaly_classification,hazelnut,STFPM,f-measure: 0.673,f-measure: 0.642,f-measure: 0.642,f-measure: 0.736,f-measure: 0.636,1696.563,13.262,11.127,1318.398,57.719,21.087,25.937,26.393,21.983,22.807
41,anomaly_classification,hazelnut,PADIM,f-measure: 0.845,f-measure: 0.687,f-measure: 0.687,f-measure: 0.873,f-measure: 0.713,324.155,14.733,13.827,988.658,81.537,20.086,25.473,24.41,19.304,22.148
42,anomaly_classification,leather,STFPM,f-measure: 0.879,f-measure: 0.787,f-measure: 0.787,f-measure: 0.863,f-measure: 0.765,1140.225,12.855,12.047,846.981,62.056,20.516,28.167,28.912,23.83,24.923
43,anomaly_classification,leather,PADIM,f-measure: 0.855,f-measure: 0.769,f-measure: 0.769,f-measure: 0.863,f-measure: 0.766,98.076,14.311,14.438,151.871,81.915,19.185,25.558,29.49,24.735,25.648
44,anomaly_classification,metal_nut,STFPM,f-measure: 0.809,f-measure: 0.809,f-measure: 0.809,f-measure: 0.835,f-measure: 0.809,1272.574,12.648,12.203,954.013,55.449,21.19,19.993,19.294,23.935,14.494
45,anomaly_classification,metal_nut,PADIM,f-measure: 0.817,f-measure: 0.809,f-measure: 0.809,f-measure: 0.826,f-measure: 0.819,455.888,14.3,12.794,136.142,74.651,24.089,19.557,21.472,24.463,14.867
46,anomaly_classification,pill,STFPM,f-measure: 0.844,f-measure: 0.844,f-measure: 0.844,f-measure: 0.844,f-measure: 0.844,707.164,11.988,12.055,606.816,58.431,18.61,29.431,30.143,25.889,23.482
47,anomaly_classification,pill,PADIM,f-measure: 0.844,f-measure: 0.847,f-measure: 0.847,f-measure: 0.844,f-measure: 0.844,91.168,21.905,12.902,159.922,77.541,20.006,28.044,28.15,25.647,18.913
48,anomaly_classification,screw,STFPM,f-measure: 0.825,f-measure: 0.744,f-measure: 0.744,f-measure: 0.762,f-measure: 0.748,1811.376,14.797,10.824,1169.511,57.67,20.299,38.964,32.875,28.192,20.337
49,anomaly_classification,screw,PADIM,f-measure: 0.744,f-measure: 0.744,f-measure: 0.744,f-measure: 0.744,f-measure: 0.744,129.524,14.235,14.373,146.847,83.469,20.487,28.691,31.563,25.896,23.98
50,anomaly_classification,tile,STFPM,f-measure: 0.838,f-measure: 0.74,f-measure: 0.74,f-measure: 0.923,f-measure: 0.749,742.34,11.37,12.921,1179.472,56.151,22.606,23.664,24.743,19.08,18.208
51,anomaly_classification,tile,PADIM,f-measure: 0.769,f-measure: 0.718,f-measure: 0.718,f-measure: 0.803,f-measure: 0.718,182.155,14.524,13.54,120.29,71.019,23.422,22.805,24.245,21.858,18.054
52,anomaly_classification,toothbrush,STFPM,f-measure: 0.714,f-measure: 0.714,f-measure: 0.714,f-measure: 0.714,f-measure: 0.714,897.108,12.418,10.9,706.979,48.905,18.367,15.016,16.432,20.929,12.653
53,anomaly_classification,toothbrush,PADIM,f-measure: 0.786,f-measure: 0.741,f-measure: 0.741,f-measure: 0.881,f-measure: 0.737,115.218,14.251,12.841,116.049,67.498,20.969,14.354,16.665,19.573,10.22
54,anomaly_classification,transistor,STFPM,f-measure: 0.4,f-measure: 0.4,f-measure: 0.4,f-measure: 0.72,f-measure: 0.4,1220.878,12.07,12.093,914.32,53.986,18.942,25.073,29.23,21.064,18.921
55,anomaly_classification,transistor,PADIM,f-measure: 0.62,f-measure: 0.419,f-measure: 0.419,f-measure: 0.7,f-measure: 0.425,205.561,15.022,14.841,105.146,84.734,17.59,23.887,23.945,20.426,22.945
56,anomaly_classification,wood,STFPM,f-measure: 0.962,f-measure: 0.824,f-measure: 0.824,f-measure: 0.937,f-measure: 0.8,639.723,12.925,10.988,828.918,54.811,17.727,21.186,25.952,19.036,13.414
57,anomaly_classification,wood,PADIM,f-measure: 0.924,f-measure: 0.815,f-measure: 0.815,f-measure: 0.937,f-measure: 0.817,100.719,18.858,13.976,93.422,76.668,17.522,22.296,26.636,17.488,19.748
58,anomaly_classification,zipper,STFPM,f-measure: 0.788,f-measure: 0.781,f-measure: 0.781,f-measure: 0.788,f-measure: 0.788,1107.225,13.064,14.975,513.97,69.837,19.351,30.511,37.014,21.398,24.824
59,anomaly_classification,zipper,PADIM,f-measure: 0.828,f-measure: 0.821,f-measure: 0.821,f-measure: 0.834,f-measure: 0.781,114.284,14.687,13.189,102.903,82.005,18.974,30.351,26.239,20.19,19.963
60,anomaly_segmentation,bottle,STFPM,Dice Average: 0.188,Dice Average: 0.134,Dice Average: 0.134,Dice Average: 0.313,Dice Average: 0.126,1494.973,12.243,12.907,1266.668,110.936,42.249,50.965,51.092,35.294,49.804
61,anomaly_segmentation,bottle,PADIM,Dice Average: 0.653,Dice Average: 0.561,Dice Average: 0.561,Dice Average: 0.626,Dice Average: 0.605,157.775,16.243,15.973,178.749,122.818,31.042,51.389,42.974,31.833,42.46
62,anomaly_segmentation,cable,STFPM,Dice Average: 0.128,Dice Average: 0.06,Dice Average: 0.06,Dice Average: 0.219,Dice Average: 0.06,1753.541,14.095,11.48,929.754,143.656,76.558,98.751,91.811,38.625,110.875
